Labels	2# Normalised	3# Normalised	1# Normalised
Type	Emission Scan	Emission Scan	Emission Scan

519	4326.81055	2769.80664	2119.27075
520	4297.71289	2811.02466	2185.74854
521	4402.89648	2778.30298	2123.60449
522	4375.51514	2796.64282	2101.00244
523	4395.47559	2832.83472	2126.68066
524	4394.67969	2853.31006	2182.52246
525	4516.08057	2854.27295	2213.30444
526	4530.99365	2784.14966	2242.96387
527	4543.59277	2805.1106	2245.78174
528	4530.03223	2896.2522	2266.26147
529	4614.99902	2943.24536	2175.34595
530	4674.93164	2904.23291	2240.88062
531	4632.65039	2825.68701	2244.80493
532	4690.78711	2865.74829	2247.18066
533	4671.08203	2900.61523	2234.46362
534	4714.11475	2968.99023	2309.27295
535	4735.03857	2873.1665	2339.71387
536	4750.9873	2945.78906	2309.61914
537	4780.32813	2879.27588	2413.47119
538	4854.82861	2934.70508	2373.37891
539	4835.20166	2946.98779	2433.5
540	4841.19043	2967.86743	2587.0166
541	4935.87793	2911.12402	2542.17798
542	4889.18799	2954.4668	2621.7627
543	4847.87061	2907.05884	2694.33496
544	5027.09668	2834.93311	2653.92041
545	4844.16797	2934.47021	2756.55518
546	4891.93555	2879.55371	2844.56714
547	4929.27686	2866.67236	2878.65771
548	4924.21094	2824.52319	2814.74634
549	4955.72559	2861.73218	2871.09985
550	4965.57227	2817.07813	2985.69263
551	4979.83594	2750.1499	3186.02686
552	4917.23242	2798.37158	3122.35669
553	4897.65576	2767.30396	3273.60083
554	4913.5332	2790.34961	3304.1543
555	4797.52832	2797.36328	3419.61401
556	4824.12988	2668.87793	3406.26392
557	4866.29639	2673.98755	3503.88989
558	4732.06445	2660.61621	3591.97437
559	4915.31787	2645.04102	3663.48706
560	4819.27197	2610.56055	3807.06201
561	4815.89893	2599.25586	3847.03662
562	4757.6377	2646.20483	3790.33203
563	4686.49854	2488.6145	3854.79517
564	4681.94336	2556.10962	3925.95117
565	4697.43652	2460.33862	4256.48291
566	4614.31885	2577.28491	4218.02246
567	4644.84131	2381.56372	4195.82227
568	4611.11084	2440.23657	4202.78369
569	4686.03613	2419.93359	4520.33643
570	4636.55957	2412.44751	4686.55811
571	4501.9624	2389.44702	4666.4917
572	4412.56592	2319.13794	4669.2417
573	4369.91553	2362.09717	4854.13916
